Category,Product Name,MRP,Selling Price,Discount%,Tag,Rating Count,Brand Name,Rating Count (K/M)
Baby Care,plix kids happy hair gentle shampoo,599,429,5,No Tag,418,Plix,418
Baby Care,cetaphil baby shampoo,649,753,40,No Tag,18,Cetaphil,18
Baby Care,nat habit baby face malai -,2900,312,18,No Tag,140,Nat,140
Baby Care,la shield kids sunscreen spf 50,625,569,40,No Tag,65,La,65
Baby Care,orgatre pregnancy stretch mark roll-on serum,389,389,0,No Tag,6545,Orgatre,6.5K
Baby Care,bio oil skin care oil -,2378,2378,0,No Tag,10,Bio,10
Baby Care,feel good club pink bubble headband,375,375,0,No Tag,9756,Feel,9.8K
Baby Care,kayanara 2--1 exfoliating dry skin body,832,499,40,No Tag,4,Kayanara,4
Baby Care,orimii sleeping face mask overnight,495,446,10,No Tag,29,Orimii,29
Baby Care,perfora smart electric toothbrush 2 brush,899,836,7,No Tag,3513,Perfora,3.5K
Baby Care,bioderma cicabio arnica+ sos quickly repairs,399,1199,10,No Tag,265,Bioderma,265
Baby Care,mamaearth baby rich moisturizing ultra light,249,359,5,No Tag,136,Mamaearth,136
Baby Care,mamaearth daily moisturizing baby lotion,367,237,18,No Tag,11376,Mamaearth,11.4K
Baby Care,chicco baby cream - argan oil,500,199,10,No Tag,559,Chicco,559
Baby Care,venusia baby intensive moisturizing cream,420,301,23,No Tag,56,Venusia,56
Baby Care,"palmer's cocoa butter nursing butter,",1150,450,15,No Tag,66,Palmers,66
Baby Care,johnson's new top to toe baby,499,325,10,No Tag,3674,Johnsons,3.7K
Baby Care,little rituals cold pressed organic sweet,749,978,40,No Tag,27,Little,27
Baby Care,mamaearth milky soft head to toe,750,449,17,No Tag,849,Mamaearth,849
Baby Care,kayanara natural bristle dry brushing body,350,449,16,No Tag,6,Kayanara,6
Baby Care,chicco gentle body wash & shampoo,550,679,18,No Tag,1678,Chicco,1.7K
Baby Care,renee cosmetics disney princess fairytale perfume,699,625,20,No Tag,9,Renee,9
Baby Care,tuco kids bye dull skin soap,294,294,0,No Tag,125,TuCo,125
Baby Care,himalaya baby massage oil,451,451,0,No Tag,5468,Himalaya,5.5K
Baby Care,vlcc shape up slimming oil,559,559,0,No Tag,2478,VLCC,2.5K
Baby Care,tikitoro teens 11-16 year olds,640,640,0,No Tag,15,Tikitoro,15
Baby Care,tuco kids kajal castor oil &,300,198,34,No Tag,23,TuCo,23
Baby Care,pampers premium care diaper - nb,1299,662,49,No Tag,2,Pampers,2
Baby Care,sirona fda approved super soft disposable,449,301,33,No Tag,472,Sirona,472
Baby Care,whimsy beauty safe & organic make,3499,2519,28,No Tag,3,Whimsy,3
Baby Care,moody hello kitty limited edition,1199,839,30,No Tag,13,Moody,13
Baby Care,little rituals post biotic face cream,795,676,15,No Tag,48,Little,48
Baby Care,mamaearth daily moisturizing baby lotion,249,237,5,No Tag,11376,Mamaearth,11.4K
Baby Care,bio oil skin care oil -,1950,1600,18,No Tag,50028,Bio,50.0K
Baby Care,chicco gilby giraffe india rattle,300,275,6,No Tag,58,Chicco,58
Baby Care,johnson's gift medium,495,550,10,No Tag,2669,Johnsons,2.7K
Baby Care,johnson's baby hair oil,375,283,29,No Tag,69,Johnsons,69
Baby Care,orimii soap free gentle cleansing face,400,446,20,No Tag,8296,Orimii,8.3K
Baby Care,johnson's natural baby powder,899,265,5,No Tag,3347,Johnsons,3.3K
Baby Care,johnson's new milk+ rice lotion,266,240,7,No Tag,16,Johnsons,16
Baby Care,tuco kids bye dull skin soap,320,320,0,No Tag,24,TuCo,24
Baby Care,minimalist baby ceramide & squalane nourishing,854,854,0,No Tag,1,Minimalist,1
Baby Care,isdin fotoprotector mineral baby ped spf,2850,2850,0,No Tag,3056,ISDIN,3.1K
Baby Care,mamaearth nourishing hair oil babies,247,247,0,No Tag,16,Mamaearth,16
Baby Care,bioderma intensive baby soap bar -,650,618,5,No Tag,300,Bioderma,300
Baby Care,pampers new baby diapers - 24,399,347,13,No Tag,260,Pampers,260
Baby Care,feel good club exfoliating bath glove,210,132,37,No Tag,47,Feel,47
Baby Care,orimii no retinol anti ageing 1%,695,626,10,No Tag,38,Orimii,38
Baby Care,cetaphil gentle skin cleanser & sun,1772,1630,8,No Tag,265805,Cetaphil,265.8K
Baby Care,parachute advansed baby massage oil,300,246,18,No Tag,183,Parachute,183
Baby Care,milagro beauty belly oil,1490,1043,30,No Tag,33,Milagro,33
Baby Care,palmer's cocoa butter bust cream helps,700,630,10,No Tag,277,Palmers,277
Baby Care,gubb safety pins clothes -,60,51,15,No Tag,4,GUBB,4
Baby Care,cottsberry organic cotton baby wipes (dry),250,213,15,No Tag,14,Cottsberry,14
Baby Care,nat habit 100% pure cold pressed,447,371,17,No Tag,183,Nat,183
Baby Care,lotus herbals safe sun kids sunscreen,430,366,15,No Tag,852,Lotus,852
Baby Care,mamaearth mineral based sunscreen babies,299,281,6,No Tag,12582,Mamaearth,12.6K
Baby Care,himalaya extra moisturizing baby wash india,500,425,15,No Tag,578,Himalaya,578
Baby Care,johnson's baby soap blossoms,80,76,6,No Tag,1437,Johnsons,1.4K
Baby Care,plix kids happy hair gentle shampoo,550,429,22,No Tag,9,Plix,9
Baby Care,johnsons gentle cotton buds 75 n,165,157,5,No Tag,1084,Johnsons,1.1K
Baby Care,"sebamed baby bubble bath, ph 5.5,",500,475,5,No Tag,192,Sebamed,192
Baby Care,little rituals postbiotic face cream,795,676,15,No Tag,48,Little,48
Baby Care,renee cosmetics disney frozen princess snowflake,499,399,20,No Tag,10,Renee,10
Baby Care,mamaearth deeply nourishing body wash,249,237,5,No Tag,5800,Mamaearth,5.8K
Baby Care,little rituals multi-vitamin hair & body,625,531,15,No Tag,53,Little,53
Baby Care,bio oil skin care oil -,1600,1313,18,No Tag,50003,Bio,50.0K
Baby Care,"pampers active baby diapers, new born",1199,1007,16,No Tag,148,Pampers,148
Baby Care,luciara stretchmark prevention cream,600,402,33,No Tag,111,Luciara,111
Baby Care,orimii niacinamide face serum kakadu,595,536,10,No Tag,13,Orimii,13
Baby Care,himalaya gentle baby wipes,280,241,14,No Tag,2947,Himalaya,2.9K
Baby Care,la shield disney moana 2 kids,599,569,5,No Tag,3,La,3
Baby Care,nat habit pure olive oil,412,342,17,No Tag,175,Nat,175
Baby Care,little rituals multi-nutrient foaming face wash,675,574,15,No Tag,25,Little,25
Baby Care,baby forest badami sneh organic cold,1750,1890,25,No Tag,3,BABY,3
Baby Care,renee cosmetics disney frozen princess,150,1315,15,No Tag,459,Renee,459
Baby Care,chicco soft cleansing wet baby wipes,499,99,10,No Tag,2714,Chicco,2.7K
Baby Care,himalaya baby care diaper rash cream,784,128,29,No Tag,999,Himalaya,999
Baby Care,mamaearth milky soft body lotion,1299,449,38,No Tag,1406,Mamaearth,1.4K
Baby Care,sebamed baby lotion -,700,700,0,No Tag,20,Sebamed,20
Baby Care,nat habit balamool sunthi pure baby,557,557,0,No Tag,1762,Nat,1.8K
Baby Care,mamaearth fruit punch toothpaste kids,149,149,0,No Tag,1603,Mamaearth,1.6K
Baby Care,mamaearth coco soft face cream,199,199,0,No Tag,20,Mamaearth,20
Baby Care,"pampers premium care pants diapers, medium",1299,818,37,No Tag,27,Pampers,27
Baby Care,sanfe flix cotton nipple covers,229,211,8,No Tag,612,Sanfe,612
Baby Care,minimalist baby zinc oxide + b5,399,379,5,No Tag,42,Minimalist,42
Baby Care,johnson's baby skincare wipes,170,280,14,No Tag,619,Johnsons,619
Baby Care,mederma stretch marks therapy,375,1045,8,No Tag,427,Mederma,427
Baby Care,himalaya baby hair oil,325,146,58,No Tag,593,Himalaya,593
Baby Care,johnson's blossoms natural baby powder,589,75,17,No Tag,5498,Johnsons,5.5K
Baby Care,mylo care baby diaper pants (xxl),499,1099,12,No Tag,63,Mylo,63
Baby Care,mamaearth super strawberry body wash,349,345,7,No Tag,1053,Mamaearth,1.1K
Baby Care,bronson professional 100 4 size,1295,135,15,No Tag,39,Bronson,39
Baby Care,nat habit extra virgin cold pressed,795,489,15,No Tag,232,Nat,232
Baby Care,mamaearth gentle cleansing shampoo babies,285,439,18,No Tag,9756,Mamaearth,9.8K
Baby Care,orossentials travel friendly wooden hair comb,350,325,16,No Tag,25,OROSSENTIALS,25
Baby Care,little rituals ray shield sunscreen,1360,1101,3,No Tag,23,Little,23
Baby Care,little rituals plant protein hair conditioner,52,676,15,No Tag,280,Little,280
Baby Care,parachute advansed baby shampoo,234,234,0,No Tag,125,Parachute,125
Baby Care,tuco kids bye dull skin soap,294,294,0,No Tag,93,TuCo,93
Baby Care,"sebamed baby powder, olive oil",1319,1319,0,No Tag,1597,Sebamed,1.6K
Baby Care,himalaya happy baby gift 9,1470,1264,14,No Tag,518,Himalaya,518
Baby Care,gubb golden safety pin assorted size,80,64,20,No Tag,2,GUBB,2
Baby Care,whimsy beauty safe & organic glow-up,1499,1154,23,No Tag,1,Whimsy,1
